"filename", "language", "JavaScript", "TypeScript", "JSON", "Gemfile", "Ruby", "HTML", "Ignore", "Markdown", "Log", "CSS", "Docker", "YAML", "Shell Script", "comment", "blank", "total"
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.47c84968.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -3
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.bfa1e613.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -3
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.d630e4eb.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/vendor.445b307f.js", "JavaScript", -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -2, -121
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/vendor.ff165755.js", "JavaScript", -211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, -5, -306
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/manifest-assets.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/manifest.json", "JSON", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/tailwind.config.js", "JavaScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/application_system_test_case.rb", "Ruby", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/channels/application_cable/connection_test.rb", "Ruby", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -7, -2, -12
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/controllers/appointments_controller_test.rb", "Ruby", 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -49
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/controllers/home_controller_test.rb", "Ruby", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/controllers/tax_incomes_controller_test.rb", "Ruby", 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -49
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/fixtures/appointments.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, -1, -3, -12
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/fixtures/tax_incomes.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -3, -16
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/fixtures/users.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -8, -2, -12
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/models/appointment_test.rb", "Ruby", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -8
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/models/tax_income_test.rb", "Ruby", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -8
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/models/user_test.rb", "Ruby", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -8
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/system/appointments_test.rb", "Ruby", 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -46
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/system/tax_incomes_test.rb", "Ruby", 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -50
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/test/test_helper.rb", "Ruby", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -14
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/tmp/cache/vite/last-build-development.json", "JSON", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/tmp/cache/vite/last-build-production.json", "JSON", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/vite.config.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"Total", "-", -15964, -9, -32406, -29, -388, -182, -47, -13, -165919, -374, -6, -115, -7, -986, -42937, -259382
